DATAFLOW,FREQ,CLASSE_ETA,IMPORTO,ITTER107,SESSO,TIPO_DATO,TIPO_PENSIONE,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC,9,P_RSNU,ALL,2012-01-01,4560292,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE,9,P_RSNU,ALL,2012-01-01,3239909,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF,9,P_RSNU,ALL,2012-01-01,3436474,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG,9,P_RSNU,ALL,2012-01-01,1652943,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD,9,P_RSNU,ALL,2012-01-01,3240523,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC,9,P_RSNU,ALL,2013-01-01,4502715,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE,9,P_RSNU,ALL,2013-01-01,3202933,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF,9,P_RSNU,ALL,2013-01-01,3405944,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD,9,P_RSNU,ALL,2013-01-01,3199366,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG,9,P_RSNU,ALL,2013-01-01,1638184,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE,9,P_RSNU,ALL,2014-01-01,3176296,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF,9,P_RSNU,ALL,2014-01-01,3390958,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD,9,P_RSNU,ALL,2014-01-01,3167626,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC,9,P_RSNU,ALL,2014-01-01,4458961,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG,9,P_RSNU,ALL,2014-01-01,1633729,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE,9,P_RSNU,ALL,2015-01-01,3157400,,,,,,,,,
