DATAFLOW,FREQ,CLASSE_ETA,IMPORTO,ITTER107,SESSO,TIPO_DATO,TIPO_PENSIONE,TIME_PERIOD,OBS_VALUE
IT1:46_812(1.2),A,TOTAL,TOTAL,IT,9,P_RSNU,ACCALL,01/01/2012,1729606
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG16,9,P_RSNU,SURV,01/01/2012,12819
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF65,9,P_RSNU,CIVDAC,01/01/2012,5571
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE15,9,P_RSNU,CIVDAC,01/01/2012,1189
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD43,9,P_RSNU,CIVWAC,01/01/2012,674
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF4,9,P_RSPER,OLSEN1,01/01/2012,14.92
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC42,9,P_RSNU,COMP,01/01/2012,5673
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE22,9,P_RSNU,ALL,01/01/2012,74115
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC12,9,P_RSNU,SURV,01/01/2012,17231
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE45,9,P_RSNU,COMP,01/01/2012,6476
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG16,9,P_RSNU,TOTDIS,01/01/2012,8866
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF51,9,P_RSNU,COMP,01/01/2012,5888
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE15,9,P_RSNU,ALL,01/01/2012,65124
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE32,9,P_RSNU,ALL,01/01/2012,141819
IT1:46_812(1.2),A,TOTAL,TOTAL,ITG16,9,P_RSNU,WAR,01/01/2012,1005
IT1:46_812(1.2),A,TOTAL,TOTAL,ITF4,9,P_RSPER,NOCONT,01/01/2012,1.9
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE15,9,P_RSNU,ACCALL,01/01/2012,4852
IT1:46_812(1.2),A,TOTAL,TOTAL,ITD2,9,P_RSNU,ALL,01/01/2012,141397
IT1:46_812(1.2),A,TOTAL,TOTAL,ITC12,9,P_RSNU,OLSEN1,01/01/2012,47593
IT1:46_812(1.2),A,TOTAL,TOTAL,ITE45,9,P_RSNU,DISAB1,01/01/2012,14696
