DATAFLOW,FREQ,CLASSE_ETA,IMPORTO,ITTER107,SESSO,TIPO_DATO,TIPO_PENSIONE,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,1,P_RSNU,ALL,2012-01-01,7819793,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,9,P_RSNU,ALL,2012-01-01,16593890,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,2,P_RSNU,ALL,2012-01-01,8774097,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,1,P_RSNU,ALL,2013-01-01,7725296,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,9,P_RSNU,ALL,2013-01-01,16393369,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,2,P_RSNU,ALL,2013-01-01,8668073,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,1,P_RSNU,ALL,2014-01-01,7661093,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,9,P_RSNU,ALL,2014-01-01,16259490,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,2,P_RSNU,ALL,2014-01-01,8598397,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,1,P_RSNU,ALL,2015-01-01,7639405,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,9,P_RSNU,ALL,2015-01-01,16179377,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,2,P_RSNU,ALL,2015-01-01,8539972,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,1,P_RSNU,ALL,2016-01-01,7601326,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,9,P_RSNU,ALL,2016-01-01,16064508,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,2,P_RSNU,ALL,2016-01-01,8463182,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,9,P_RSNU,ALL,2017-01-01,16041852,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,2,P_RSNU,ALL,2017-01-01,8419782,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,1,P_RSNU,ALL,2017-01-01,7622070,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,2,P_RSNU,ALL,2018-01-01,8359873,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,1,P_RSNU,ALL,2018-01-01,7644630,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,9,P_RSNU,ALL,2018-01-01,16004503,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,2,P_RSNU,ALL,2019-01-01,8325740,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,1,P_RSNU,ALL,2019-01-01,7709425,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,9,P_RSNU,ALL,2019-01-01,16035165,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,2,P_RSNU,ALL,2020-01-01,8311340,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,1,P_RSNU,ALL,2020-01-01,7729862,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,9,P_RSNU,ALL,2020-01-01,16041202,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,2,P_RSNU,ALL,2021-01-01,8331559,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,1,P_RSNU,ALL,2021-01-01,7767189,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,9,P_RSNU,ALL,2021-01-01,16098748,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,2,P_RSNU,ALL,2022-01-01,8337089,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,1,P_RSNU,ALL,2022-01-01,7794325,,,,,,,,,
IT1:46_812(1.2),A,TOTAL,TOTAL,ITTOT,9,P_RSNU,ALL,2022-01-01,16131414,,,,,,,,,
