_id,FREQ,PAESE_PARTNER,TIPO_DATO,TIME_PERIOD,OBS_VALUE
67a0a80e56281f444306d344,M,WORLD,EV,1993-01-01,9113
67a0a80e56281f444306d345,M,WORLD,EV,1993-02-01,10452
67a0a80e56281f444306d346,M,WORLD,EV,1993-03-01,11904
67a0a80e56281f444306d347,M,WORLD,EV,1993-04-01,11693
67a0a80e56281f444306d348,M,WORLD,EV,1993-05-01,11203
67a0a80e56281f444306d349,M,WORLD,EV,1993-06-01,11754
67a0a80e56281f444306d34a,M,WORLD,EV,1993-07-01,13374
67a0a80e56281f444306d34b,M,WORLD,EV,1993-08-01,6923
67a0a80e56281f444306d34c,M,WORLD,EV,1993-09-01,12178
67a0a80e56281f444306d34d,M,WORLD,EV,1993-10-01,12499
67a0a80e56281f444306d34e,M,WORLD,EV,1993-11-01,12347
67a0a80e56281f444306d34f,M,WORLD,EV,1993-12-01,14049
67a0a80e56281f444306d350,M,WORLD,EV,1994-01-01,10583
67a0a80e56281f444306d351,M,WORLD,EV,1994-02-01,12447
67a0a80e56281f444306d352,M,WORLD,EV,1994-03-01,14556
67a0a80e56281f444306d353,M,WORLD,EV,1994-04-01,12369
67a0a80e56281f444306d354,M,WORLD,EV,1994-05-01,13263
67a0a80e56281f444306d355,M,WORLD,EV,1994-06-01,14025
67a0a80e56281f444306d356,M,WORLD,EV,1994-07-01,14400
67a0a80e56281f444306d357,M,WORLD,EV,1994-08-01,9300
67a0a80e56281f444306d358,M,WORLD,EV,1994-09-01,14149
67a0a80e56281f444306d359,M,WORLD,EV,1994-10-01,14089
67a0a80e56281f444306d35a,M,WORLD,EV,1994-11-01,14276
67a0a80e56281f444306d35b,M,WORLD,EV,1994-12-01,15635
67a0a80e56281f444306d35c,M,WORLD,EV,1995-01-01,13927
67a0a80e56281f444306d35d,M,WORLD,EV,1995-02-01,14634
67a0a80e56281f444306d35e,M,WORLD,EV,1995-03-01,17939
67a0a80e56281f444306d35f,M,WORLD,EV,1995-04-01,15542
67a0a80e56281f444306d360,M,WORLD,EV,1995-05-01,17905
67a0a80e56281f444306d361,M,WORLD,EV,1995-06-01,18000
67a0a80e56281f444306d362,M,WORLD,EV,1995-07-01,18303
67a0a80e56281f444306d363,M,WORLD,EV,1995-08-01,11470
67a0a80e56281f444306d364,M,WORLD,EV,1995-09-01,16668
67a0a80e56281f444306d365,M,WORLD,EV,1995-10-01,17599
67a0a80e56281f444306d366,M,WORLD,EV,1995-11-01,17636
67a0a80e56281f444306d367,M,WORLD,EV,1995-12-01,17239
67a0a80e56281f444306d368,M,WORLD,EV,1996-01-01,15000
67a0a80e56281f444306d369,M,WORLD,EV,1996-02-01,17092
67a0a80e56281f444306d36a,M,WORLD,EV,1996-03-01,18193
67a0a80e56281f444306d36b,M,WORLD,EV,1996-04-01,16271
67a0a80e56281f444306d36c,M,WORLD,EV,1996-05-01,17846
67a0a80e56281f444306d36d,M,WORLD,EV,1996-06-01,17112
67a0a80e56281f444306d36e,M,WORLD,EV,1996-07-01,19791
67a0a80e56281f444306d36f,M,WORLD,EV,1996-08-01,11411
67a0a80e56281f444306d370,M,WORLD,EV,1996-09-01,15764
67a0a80e56281f444306d371,M,WORLD,EV,1996-10-01,19093
67a0a80e56281f444306d372,M,WORLD,EV,1996-11-01,16775
67a0a80e56281f444306d373,M,WORLD,EV,1996-12-01,16495
67a0a80e56281f444306d374,M,WORLD,EV,1997-01-01,14827
67a0a80e56281f444306d375,M,WORLD,EV,1997-02-01,16348
67a0a80e56281f444306d376,M,WORLD,EV,1997-03-01,17423
67a0a80e56281f444306d377,M,WORLD,EV,1997-04-01,17953
67a0a80e56281f444306d378,M,WORLD,EV,1997-05-01,17891
67a0a80e56281f444306d379,M,WORLD,EV,1997-06-01,18358
67a0a80e56281f444306d37a,M,WORLD,EV,1997-07-01,21502
67a0a80e56281f444306d37b,M,WORLD,EV,1997-08-01,11687
67a0a80e56281f444306d37c,M,WORLD,EV,1997-09-01,18169
67a0a80e56281f444306d37d,M,WORLD,EV,1997-10-01,20292
67a0a80e56281f444306d37e,M,WORLD,EV,1997-11-01,18296
67a0a80e56281f444306d37f,M,WORLD,EV,1997-12-01,18551
67a0a80e56281f444306d380,M,WORLD,EV,1998-01-01,15729
67a0a80e56281f444306d381,M,WORLD,EV,1998-02-01,17839
67a0a80e56281f444306d382,M,WORLD,EV,1998-03-01,21166
67a0a80e56281f444306d383,M,WORLD,EV,1998-04-01,18859
67a0a80e56281f444306d384,M,WORLD,EV,1998-05-01,18664
67a0a80e56281f444306d385,M,WORLD,EV,1998-06-01,20167
67a0a80e56281f444306d386,M,WORLD,EV,1998-07-01,21802
67a0a80e56281f444306d387,M,WORLD,EV,1998-08-01,12318
67a0a80e56281f444306d388,M,WORLD,EV,1998-09-01,18185
67a0a80e56281f444306d389,M,WORLD,EV,1998-10-01,19120
67a0a80e56281f444306d38a,M,WORLD,EV,1998-11-01,18146
67a0a80e56281f444306d38b,M,WORLD,EV,1998-12-01,18109
67a0a80e56281f444306d38c,M,WORLD,EV,1999-01-01,14370
67a0a80e56281f444306d38d,M,WORLD,EV,1999-02-01,16641
67a0a80e56281f444306d38e,M,WORLD,EV,1999-03-01,20222
67a0a80e56281f444306d38f,M,WORLD,EV,1999-04-01,17627
67a0a80e56281f444306d390,M,WORLD,EV,1999-05-01,17685
67a0a80e56281f444306d391,M,WORLD,EV,1999-06-01,19737
67a0a80e56281f444306d392,M,WORLD,EV,1999-07-01,21131
67a0a80e56281f444306d393,M,WORLD,EV,1999-08-01,12649
67a0a80e56281f444306d394,M,WORLD,EV,1999-09-01,19226
67a0a80e56281f444306d395,M,WORLD,EV,1999-10-01,20532
67a0a80e56281f444306d396,M,WORLD,EV,1999-11-01,20051
67a0a80e56281f444306d397,M,WORLD,EV,1999-12-01,21172
67a0a80e56281f444306d398,M,WORLD,EV,2000-01-01,16926
67a0a80e56281f444306d399,M,WORLD,EV,2000-02-01,20739
67a0a80e56281f444306d39a,M,WORLD,EV,2000-03-01,24203
67a0a80e56281f444306d39b,M,WORLD,EV,2000-04-01,19123
67a0a80e56281f444306d39c,M,WORLD,EV,2000-05-01,22630
67a0a80e56281f444306d39d,M,WORLD,EV,2000-06-01,22418
67a0a80e56281f444306d39e,M,WORLD,EV,2000-07-01,23769
67a0a80e56281f444306d39f,M,WORLD,EV,2000-08-01,16122
67a0a80e56281f444306d3a0,M,WORLD,EV,2000-09-01,23450
67a0a80e56281f444306d3a1,M,WORLD,EV,2000-10-01,24290
67a0a80e56281f444306d3a2,M,WORLD,EV,2000-11-01,23404
67a0a80e56281f444306d3a3,M,WORLD,EV,2000-12-01,23341
67a0a80e56281f444306d3a4,M,WORLD,EV,2001-01-01,21037
67a0a80e56281f444306d3a5,M,WORLD,EV,2001-02-01,22035
67a0a80e56281f444306d3a6,M,WORLD,EV,2001-03-01,25912
67a0a80e56281f444306d3a7,M,WORLD,EV,2001-04-01,21608
67a0a80e56281f444306d3a8,M,WORLD,EV,2001-05-01,24113
67a0a80e56281f444306d3a9,M,WORLD,EV,2001-06-01,24445
67a0a80e56281f444306d3aa,M,WORLD,EV,2001-07-01,25114
67a0a80e56281f444306d3ab,M,WORLD,EV,2001-08-01,16186
67a0a80e56281f444306d3ac,M,WORLD,EV,2001-09-01,21646
67a0a80e56281f444306d3ad,M,WORLD,EV,2001-10-01,25172
67a0a80e56281f444306d3ae,M,WORLD,EV,2001-11-01,22998
67a0a80e56281f444306d3af,M,WORLD,EV,2001-12-01,22722
67a0a80e56281f444306d3b0,M,WORLD,EV,2002-01-01,19882
67a0a80e56281f444306d3b1,M,WORLD,EV,2002-02-01,21592
67a0a80e56281f444306d3b2,M,WORLD,EV,2002-03-01,24075
67a0a80e56281f444306d3b3,M,WORLD,EV,2002-04-01,21286
67a0a80e56281f444306d3b4,M,WORLD,EV,2002-05-01,24175
67a0a80e56281f444306d3b5,M,WORLD,EV,2002-06-01,22546
67a0a80e56281f444306d3b6,M,WORLD,EV,2002-07-01,25986
67a0a80e56281f444306d3b7,M,WORLD,EV,2002-08-01,15700
67a0a80e56281f444306d3b8,M,WORLD,EV,2002-09-01,22404
67a0a80e56281f444306d3b9,M,WORLD,EV,2002-10-01,25817
67a0a80e56281f444306d3ba,M,WORLD,EV,2002-11-01,22784
67a0a80e56281f444306d3bb,M,WORLD,EV,2002-12-01,22819
67a0a80e56281f444306d3bc,M,WORLD,EV,2003-01-01,20119
67a0a80e56281f444306d3bd,M,WORLD,EV,2003-02-01,21596
